date,adj_close,name,source
2006-06-21,0.983593,QLD,tiingo
2006-06-22,0.960439,QLD,tiingo
2006-06-23,0.957591,QLD,tiingo
2006-06-26,0.96113,QLD,tiingo
2006-06-27,0.92519,QLD,tiingo
2006-06-28,0.936489,QLD,tiingo
2006-06-29,0.993123,QLD,tiingo
2006-06-30,0.983593,QLD,tiingo
2006-07-03,0.995029,QLD,tiingo
2006-07-05,0.955821,QLD,tiingo
2006-07-06,0.950239,QLD,tiingo
2006-07-07,0.92941,QLD,tiingo
2006-07-10,0.914027,QLD,tiingo
2006-07-11,0.929002,QLD,tiingo
2006-07-12,0.892245,QLD,tiingo
2006-07-13,0.863792,QLD,tiingo
2006-07-14,0.846094,QLD,tiingo
2006-07-17,0.850178,QLD,tiingo
2006-07-18,0.854943,QLD,tiingo
2006-07-19,0.873458,QLD,tiingo
2006-07-20,0.849634,QLD,tiingo
2006-07-21,0.830438,QLD,tiingo
2006-07-24,0.861069,QLD,tiingo
2006-07-25,0.869511,QLD,tiingo
2006-07-26,0.87128,QLD,tiingo
2006-07-27,0.862431,QLD,tiingo
2006-07-28,0.896873,QLD,tiingo
2006-07-31,0.895104,QLD,tiingo
2006-08-01,0.864473,QLD,tiingo
2006-08-02,0.880401,QLD,tiingo
2006-08-03,0.895104,QLD,tiingo
2006-08-04,0.886935,QLD,tiingo
2006-08-07,0.876181,QLD,tiingo
2006-08-08,0.865153,QLD,tiingo
2006-08-09,0.864745,QLD,tiingo
2006-08-10,0.875772,QLD,tiingo
2006-08-11,0.867196,QLD,tiingo
2006-08-14,0.875091,QLD,tiingo
2006-08-15,0.920698,QLD,tiingo
2006-08-16,0.964534,QLD,tiingo
2006-08-17,0.97066,QLD,tiingo
2006-08-18,0.969299,QLD,tiingo
2006-08-21,0.951601,QLD,tiingo
2006-08-22,0.954323,QLD,tiingo
2006-08-23,0.937987,QLD,tiingo
2006-08-24,0.945202,QLD,tiingo
2006-08-25,0.948878,QLD,tiingo
2006-08-28,0.962492,QLD,tiingo
2006-08-29,0.968618,QLD,tiingo
2006-08-30,0.977193,QLD,tiingo
2006-08-31,0.976105,QLD,tiingo
2006-09-01,0.984954,QLD,tiingo
2006-09-05,1.00265,QLD,tiingo
2006-09-06,0.963581,QLD,tiingo
2006-09-07,0.955004,QLD,tiingo
2006-09-08,0.964534,QLD,tiingo
2006-09-11,0.977467,QLD,tiingo
2006-09-12,1.01545,QLD,tiingo
2006-09-13,1.02716,QLD,tiingo
2006-09-14,1.02607,QLD,tiingo
2006-09-15,1.03601,QLD,tiingo
2006-09-18,1.03519,QLD,tiingo
2006-09-19,1.02266,QLD,tiingo
2006-09-20,1.05302,QLD,tiingo
2006-09-21,1.03941,QLD,tiingo
2006-09-22,1.02144,QLD,tiingo
2006-09-25,1.05915,QLD,tiingo
2006-09-26,1.06786,QLD,tiingo
2006-09-27,1.06242,QLD,tiingo
2006-09-28,1.06868,QLD,tiingo
2006-09-29,1.06051,QLD,tiingo
2006-10-02,1.03464,QLD,tiingo
2006-10-03,1.042,QLD,tiingo
2006-10-04,1.08978,QLD,tiingo
2006-10-05,1.10407,QLD,tiingo
2006-10-06,1.09795,QLD,tiingo
2006-10-09,1.10339,QLD,tiingo
2006-10-10,1.10952,QLD,tiingo
2006-10-11,1.10544,QLD,tiingo
2006-10-12,1.14219,QLD,tiingo
2006-10-13,1.15091,QLD,tiingo
2006-10-16,1.15308,QLD,tiingo
2006-10-17,1.13062,QLD,tiingo
2006-10-18,1.11497,QLD,tiingo
2006-10-19,1.1245,QLD,tiingo
2006-10-20,1.12722,QLD,tiingo
2006-10-23,1.14737,QLD,tiingo
2006-10-24,1.13648,QLD,tiingo
2006-10-25,1.15036,QLD,tiingo
2006-10-26,1.16874,QLD,tiingo
2006-10-27,1.13566,QLD,tiingo
2006-10-30,1.149,QLD,tiingo
2006-10-31,1.15581,QLD,tiingo
2006-11-01,1.1245,QLD,tiingo
2006-11-02,1.12558,QLD,tiingo
2006-11-03,1.11905,QLD,tiingo
2006-11-06,1.14424,QLD,tiingo
2006-11-07,1.16738,QLD,tiingo
2006-11-08,1.18317,QLD,tiingo
2006-11-09,1.1667,QLD,tiingo
2006-11-10,1.17963,QLD,tiingo
2006-11-13,1.19869,QLD,tiingo
2006-11-14,1.22932,QLD,tiingo
2006-11-15,1.23708,QLD,tiingo
2006-11-16,1.24974,QLD,tiingo
2006-11-17,1.24702,QLD,tiingo
2006-11-20,1.25178,QLD,tiingo
2006-11-21,1.25519,QLD,tiingo
2006-11-22,1.27098,QLD,tiingo
2006-11-24,1.26295,QLD,tiingo
2006-11-27,1.20604,QLD,tiingo
2006-11-28,1.20958,QLD,tiingo
2006-11-29,1.22932,QLD,tiingo
2006-11-30,1.22551,QLD,tiingo
2006-12-01,1.20917,QLD,tiingo
2006-12-04,1.23953,QLD,tiingo
2006-12-05,1.24552,QLD,tiingo
2006-12-06,1.2364,QLD,tiingo
2006-12-07,1.20618,QLD,tiingo
2006-12-08,1.21843,QLD,tiingo
2006-12-11,1.22796,QLD,tiingo
2006-12-12,1.2119,QLD,tiingo
2006-12-13,1.21503,QLD,tiingo
2006-12-14,1.24089,QLD,tiingo
2006-12-15,1.24906,QLD,tiingo
2006-12-18,1.22047,QLD,tiingo
2006-12-19,1.21571,QLD,tiingo
2006-12-20,1.20783,QLD,tiingo
2006-12-21,1.19116,QLD,tiingo
2006-12-22,1.16868,QLD,tiingo
2006-12-26,1.17448,QLD,tiingo
2006-12-27,1.18594,QLD,tiingo
2006-12-28,1.17593,QLD,tiingo
2006-12-29,1.17506,QLD,tiingo
2007-01-03,1.17883,QLD,tiingo
2007-01-04,1.22117,QLD,tiingo
2007-01-05,1.20348,QLD,tiingo
2007-01-08,1.21102,QLD,tiingo
2007-01-09,1.22581,QLD,tiingo
2007-01-10,1.25785,QLD,tiingo
2007-01-11,1.27888,QLD,tiingo
2007-01-12,1.29193,QLD,tiingo
2007-01-16,1.29193,QLD,tiingo
2007-01-17,1.26844,QLD,tiingo
2007-01-18,1.21653,QLD,tiingo
2007-01-19,1.22015,QLD,tiingo
2007-01-22,1.19623,QLD,tiingo
2007-01-23,1.19058,QLD,tiingo
2007-01-24,1.22668,QLD,tiingo
2007-01-25,1.19333,QLD,tiingo
2007-01-26,1.18507,QLD,tiingo
2007-01-29,1.19203,QLD,tiingo
2007-01-30,1.19522,QLD,tiingo
2007-01-31,1.21,QLD,tiingo
2007-02-01,1.21145,QLD,tiingo
2007-02-02,1.22189,QLD,tiingo
2007-02-05,1.21769,QLD,tiingo
2007-02-06,1.21218,QLD,tiingo
2007-02-07,1.24103,QLD,tiingo
2007-02-08,1.24147,QLD,tiingo
2007-02-09,1.20276,QLD,tiingo
2007-02-12,1.19319,QLD,tiingo
2007-02-13,1.20623,QLD,tiingo
2007-02-14,1.24234,QLD,tiingo
2007-02-15,1.25553,QLD,tiingo
2007-02-16,1.25133,QLD,tiingo
2007-02-20,1.26583,QLD,tiingo
2007-02-21,1.27409,QLD,tiingo
2007-02-22,1.28758,QLD,tiingo
2007-02-23,1.27598,QLD,tiingo
2007-02-26,1.26438,QLD,tiingo
2007-02-27,1.14258,QLD,tiingo
2007-02-28,1.16709,QLD,tiingo
2007-03-01,1.15491,QLD,tiingo
2007-03-02,1.11445,QLD,tiingo
2007-03-05,1.09908,QLD,tiingo
2007-03-06,1.13925,QLD,tiingo
2007-03-07,1.12881,QLD,tiingo
2007-03-08,1.14983,QLD,tiingo
2007-03-09,1.14577,QLD,tiingo
2007-03-12,1.15636,QLD,tiingo
2007-03-13,1.11257,QLD,tiingo
2007-03-14,1.14345,QLD,tiingo
2007-03-15,1.14026,QLD,tiingo
2007-03-16,1.13606,QLD,tiingo
2007-03-19,1.15897,QLD,tiingo
2007-03-20,1.17448,QLD,tiingo
2007-03-21,1.21798,QLD,tiingo
2007-03-22,1.21073,QLD,tiingo
2007-03-23,1.20015,QLD,tiingo
2007-03-26,1.20913,QLD,tiingo
2007-03-27,1.19655,QLD,tiingo
2007-03-28,1.17175,QLD,tiingo
2007-03-29,1.1703,QLD,tiingo
2007-03-30,1.17436,QLD,tiingo
2007-04-02,1.17001,QLD,tiingo
2007-04-03,1.2038,QLD,tiingo
2007-04-04,1.21091,QLD,tiingo
2007-04-05,1.22396,QLD,tiingo
2007-04-09,1.21802,QLD,tiingo
2007-04-10,1.22744,QLD,tiingo
2007-04-11,1.20235,QLD,tiingo
2007-04-12,1.22324,QLD,tiingo
2007-04-13,1.22759,QLD,tiingo
2007-04-16,1.24905,QLD,tiingo
2007-04-17,1.25412,QLD,tiingo
2007-04-18,1.24934,QLD,tiingo
2007-04-19,1.25035,QLD,tiingo
2007-04-20,1.26921,QLD,tiingo
2007-04-23,1.26979,QLD,tiingo
2007-04-24,1.27994,QLD,tiingo
2007-04-25,1.31677,QLD,tiingo
2007-04-26,1.33055,QLD,tiingo
2007-04-27,1.332,QLD,tiingo
2007-04-30,1.2972,QLD,tiingo
2007-05-01,1.30517,QLD,tiingo
2007-05-02,1.32185,QLD,tiingo
2007-05-03,1.332,QLD,tiingo
2007-05-04,1.33519,QLD,tiingo
2007-05-07,1.33215,QLD,tiingo
2007-05-08,1.33142,QLD,tiingo
