date,adj_close,name,source
2006-06-21,3.64131,SSO,tiingo
2006-06-22,3.6026,SSO,tiingo
2006-06-23,3.60209,SSO,tiingo
2006-06-26,3.62298,SSO,tiingo
2006-06-27,3.55881,SSO,tiingo
2006-06-28,3.59038,SSO,tiingo
2006-06-29,3.74265,SSO,tiingo
2006-06-30,3.74062,SSO,tiingo
2006-07-03,3.79154,SSO,tiingo
2006-07-05,3.74113,SSO,tiingo
2006-07-06,3.75284,SSO,tiingo
2006-07-07,3.70955,SSO,tiingo
2006-07-10,3.71617,SSO,tiingo
2006-07-11,3.74792,SSO,tiingo
2006-07-12,3.6739,SSO,tiingo
2006-07-13,3.56288,SSO,tiingo
2006-07-14,3.5308,SSO,tiingo
2006-07-17,3.52723,SSO,tiingo
2006-07-18,3.53273,SSO,tiingo
2006-07-19,3.65404,SSO,tiingo
2006-07-20,3.61126,SSO,tiingo
2006-07-21,3.55422,SSO,tiingo
2006-07-24,3.66677,SSO,tiingo
2006-07-25,3.71312,SSO,tiingo
2006-07-26,3.72025,SSO,tiingo
2006-07-27,3.6846,SSO,tiingo
2006-07-28,3.76862,SSO,tiingo
2006-07-31,3.75844,SSO,tiingo
2006-08-01,3.72483,SSO,tiingo
2006-08-02,3.75335,SSO,tiingo
2006-08-03,3.77219,SSO,tiingo
2006-08-04,3.77117,SSO,tiingo
2006-08-07,3.75029,SSO,tiingo
2006-08-08,3.71974,SSO,tiingo
2006-08-09,3.69122,SSO,tiingo
2006-08-10,3.72381,SSO,tiingo
2006-08-11,3.69682,SSO,tiingo
2006-08-14,3.70931,SSO,tiingo
2006-08-15,3.80071,SSO,tiingo
2006-08-16,3.86437,SSO,tiingo
2006-08-17,3.88016,SSO,tiingo
2006-08-18,3.89595,SSO,tiingo
2006-08-21,3.87761,SSO,tiingo
2006-08-22,3.88067,SSO,tiingo
2006-08-23,3.84909,SSO,tiingo
2006-08-24,3.86335,SSO,tiingo
2006-08-25,3.87048,SSO,tiingo
2006-08-28,3.90358,SSO,tiingo
2006-08-29,3.92192,SSO,tiingo
2006-08-30,3.92141,SSO,tiingo
2006-08-31,3.91835,SSO,tiingo
2006-09-01,3.95789,SSO,tiingo
2006-09-05,3.96521,SSO,tiingo
2006-09-06,3.89584,SSO,tiingo
2006-09-07,3.85673,SSO,tiingo
2006-09-08,3.88423,SSO,tiingo
2006-09-11,3.88321,SSO,tiingo
2006-09-12,3.9591,SSO,tiingo
2006-09-13,3.9978,SSO,tiingo
2006-09-14,3.97845,SSO,tiingo
2006-09-15,4.01255,SSO,tiingo
2006-09-18,4.01206,SSO,tiingo
2006-09-19,3.98609,SSO,tiingo
2006-09-20,4.03447,SSO,tiingo
2006-09-21,3.99067,SSO,tiingo
2006-09-22,3.96877,SSO,tiingo
2006-09-25,4.04262,SSO,tiingo
2006-09-26,4.09575,SSO,tiingo
2006-09-27,4.10577,SSO,tiingo
2006-09-28,4.11901,SSO,tiingo
2006-09-29,4.1022,SSO,tiingo
2006-10-02,4.06809,SSO,tiingo
2006-10-03,4.08285,SSO,tiingo
2006-10-04,4.18318,SSO,tiingo
2006-10-05,4.19845,SSO,tiingo
2006-10-06,4.18623,SSO,tiingo
2006-10-09,4.19031,SSO,tiingo
2006-10-10,4.20304,SSO,tiingo
2006-10-11,4.18623,SSO,tiingo
2006-10-12,4.2611,SSO,tiingo
2006-10-13,4.28096,SSO,tiingo
2006-10-16,4.2942,SSO,tiingo
2006-10-17,4.27281,SSO,tiingo
2006-10-18,4.27179,SSO,tiingo
2006-10-19,4.27943,SSO,tiingo
2006-10-20,4.28554,SSO,tiingo
2006-10-23,4.32526,SSO,tiingo
2006-10-24,4.34462,SSO,tiingo
2006-10-25,4.36906,SSO,tiingo
2006-10-26,4.40675,SSO,tiingo
2006-10-27,4.34869,SSO,tiingo
2006-10-30,4.34309,SSO,tiingo
2006-10-31,4.32883,SSO,tiingo
2006-11-01,4.27739,SSO,tiingo
2006-11-02,4.27383,SSO,tiingo
2006-11-03,4.24735,SSO,tiingo
2006-11-06,4.35073,SSO,tiingo
2006-11-07,4.37365,SSO,tiingo
2006-11-08,4.40216,SSO,tiingo
2006-11-09,4.35175,SSO,tiingo
2006-11-10,4.35939,SSO,tiingo
2006-11-13,4.37721,SSO,tiingo
2006-11-14,4.43934,SSO,tiingo
2006-11-15,4.47092,SSO,tiingo
2006-11-16,4.49027,SSO,tiingo
2006-11-17,4.48925,SSO,tiingo
2006-11-20,4.4867,SSO,tiingo
2006-11-21,4.50045,SSO,tiingo
2006-11-22,4.51981,SSO,tiingo
2006-11-24,4.48365,SSO,tiingo
2006-11-27,4.36448,SSO,tiingo
2006-11-28,4.38994,SSO,tiingo
2006-11-29,4.47041,SSO,tiingo
2006-11-30,4.47397,SSO,tiingo
2006-12-01,4.4536,SSO,tiingo
2006-12-04,4.5249,SSO,tiingo
2006-12-05,4.56157,SSO,tiingo
2006-12-06,4.54833,SSO,tiingo
2006-12-07,4.51522,SSO,tiingo
2006-12-08,4.52694,SSO,tiingo
2006-12-11,4.55087,SSO,tiingo
2006-12-12,4.54476,SSO,tiingo
2006-12-13,4.5631,SSO,tiingo
2006-12-14,4.62421,SSO,tiingo
2006-12-15,4.64356,SSO,tiingo
2006-12-18,4.61402,SSO,tiingo
2006-12-19,4.63898,SSO,tiingo
2006-12-20,4.62202,SSO,tiingo
2006-12-21,4.59438,SSO,tiingo
2006-12-22,4.52901,SSO,tiingo
2006-12-26,4.58907,SSO,tiingo
2006-12-27,4.65338,SSO,tiingo
2006-12-28,4.63478,SSO,tiingo
2006-12-29,4.58694,SSO,tiingo
2007-01-03,4.55505,SSO,tiingo
2007-01-04,4.58056,SSO,tiingo
2007-01-05,4.50349,SSO,tiingo
2007-01-08,4.53911,SSO,tiingo
2007-01-09,4.53485,SSO,tiingo
2007-01-10,4.55505,SSO,tiingo
2007-01-11,4.6098,SSO,tiingo
2007-01-12,4.66401,SSO,tiingo
2007-01-16,4.65707,SSO,tiingo
2007-01-17,4.65498,SSO,tiingo
2007-01-18,4.61617,SSO,tiingo
2007-01-19,4.64381,SSO,tiingo
2007-01-22,4.59385,SSO,tiingo
2007-01-23,4.62627,SSO,tiingo
2007-01-24,4.69856,SSO,tiingo
2007-01-25,4.60395,SSO,tiingo
2007-01-26,4.59226,SSO,tiingo
2007-01-29,4.57844,SSO,tiingo
2007-01-30,4.62681,SSO,tiingo
2007-01-31,4.68421,SSO,tiingo
2007-02-01,4.73895,SSO,tiingo
2007-02-02,4.75495,SSO,tiingo
2007-02-05,4.74852,SSO,tiingo
2007-02-06,4.74852,SSO,tiingo
2007-02-07,4.765,SSO,tiingo
2007-02-08,4.75543,SSO,tiingo
2007-02-09,4.69909,SSO,tiingo
2007-02-12,4.65976,SSO,tiingo
2007-02-13,4.73045,SSO,tiingo
2007-02-14,4.8022,SSO,tiingo
2007-02-15,4.8022,SSO,tiingo
2007-02-16,4.80114,SSO,tiingo
2007-02-20,4.824,SSO,tiingo
2007-02-21,4.81496,SSO,tiingo
2007-02-22,4.80646,SSO,tiingo
2007-02-23,4.78041,SSO,tiingo
2007-02-26,4.76819,SSO,tiingo
2007-02-27,4.3855,SSO,tiingo
2007-02-28,4.47372,SSO,tiingo
2007-03-01,4.45832,SSO,tiingo
2007-03-02,4.33182,SSO,tiingo
2007-03-05,4.24624,SSO,tiingo
2007-03-06,4.39294,SSO,tiingo
2007-03-07,4.37381,SSO,tiingo
2007-03-08,4.42749,SSO,tiingo
2007-03-09,4.45194,SSO,tiingo
2007-03-12,4.47001,SSO,tiingo
2007-03-13,4.2877,SSO,tiingo
2007-03-14,4.35255,SSO,tiingo
2007-03-15,4.37274,SSO,tiingo
2007-03-16,4.33554,SSO,tiingo
2007-03-19,4.44184,SSO,tiingo
2007-03-20,4.4934,SSO,tiingo
2007-03-21,4.64169,SSO,tiingo
2007-03-22,4.63956,SSO,tiingo
2007-03-23,4.64062,SSO,tiingo
2007-03-26,4.6369,SSO,tiingo
2007-03-27,4.60395,SSO,tiingo
2007-03-28,4.53625,SSO,tiingo
2007-03-29,4.54424,SSO,tiingo
2007-03-30,4.55491,SSO,tiingo
2007-04-02,4.56557,SSO,tiingo
2007-04-03,4.65565,SSO,tiingo
2007-04-04,4.66152,SSO,tiingo
2007-04-05,4.69137,SSO,tiingo
2007-04-09,4.70469,SSO,tiingo
2007-04-10,4.70949,SSO,tiingo
