date,close,name,source
1985-01-31,125,NDX,nasdaq-giw(close)
1985-02-01,124.63,NDX,nasdaq-giw(close)
1985-02-04,126.22,NDX,nasdaq-giw(close)
1985-02-05,126.76,NDX,nasdaq-giw(close)
1985-02-06,127.16,NDX,nasdaq-giw(close)
1985-02-07,128.56,NDX,nasdaq-giw(close)
1985-02-08,128.65,NDX,nasdaq-giw(close)
1985-02-11,127.8,NDX,nasdaq-giw(close)
1985-02-12,126.97,NDX,nasdaq-giw(close)
1985-02-13,127.88,NDX,nasdaq-giw(close)
1985-02-14,127.01,NDX,nasdaq-giw(close)
1985-02-15,126.02,NDX,nasdaq-giw(close)
1985-02-19,125.09,NDX,nasdaq-giw(close)
1985-02-20,125.48,NDX,nasdaq-giw(close)
1985-02-21,125.25,NDX,nasdaq-giw(close)
1985-02-22,124.95,NDX,nasdaq-giw(close)
1985-02-25,123.59,NDX,nasdaq-giw(close)
1985-02-26,124.69,NDX,nasdaq-giw(close)
1985-02-27,123.56,NDX,nasdaq-giw(close)
1985-02-28,123.52,NDX,nasdaq-giw(close)
1985-03-01,124.84,NDX,nasdaq-giw(close)
1985-03-04,125.11,NDX,nasdaq-giw(close)
1985-03-05,124.6,NDX,nasdaq-giw(close)
1985-03-06,122.5,NDX,nasdaq-giw(close)
1985-03-07,120.61,NDX,nasdaq-giw(close)
1985-03-08,119.79,NDX,nasdaq-giw(close)
1985-03-11,119.22,NDX,nasdaq-giw(close)
1985-03-12,119.72,NDX,nasdaq-giw(close)
1985-03-13,116.73,NDX,nasdaq-giw(close)
1985-03-14,115.98,NDX,nasdaq-giw(close)
1985-03-15,116.61,NDX,nasdaq-giw(close)
1985-03-18,116.61,NDX,nasdaq-giw(close)
1985-03-19,117.84,NDX,nasdaq-giw(close)
1985-03-20,117.63,NDX,nasdaq-giw(close)
1985-03-21,117.67,NDX,nasdaq-giw(close)
1985-03-22,117.31,NDX,nasdaq-giw(close)
1985-03-25,115.02,NDX,nasdaq-giw(close)
1985-03-26,115.25,NDX,nasdaq-giw(close)
1985-03-27,116.38,NDX,nasdaq-giw(close)
1985-03-28,116.39,NDX,nasdaq-giw(close)
1985-03-29,117.36,NDX,nasdaq-giw(close)
1985-04-01,118.72,NDX,nasdaq-giw(close)
1985-04-02,117.96,NDX,nasdaq-giw(close)
1985-04-03,116.19,NDX,nasdaq-giw(close)
1985-04-04,115.97,NDX,nasdaq-giw(close)
1985-04-08,115.14,NDX,nasdaq-giw(close)
1985-04-09,115.33,NDX,nasdaq-giw(close)
1985-04-10,117.11,NDX,nasdaq-giw(close)
1985-04-11,117.25,NDX,nasdaq-giw(close)
1985-04-12,117.5,NDX,nasdaq-giw(close)
1985-04-15,117.74,NDX,nasdaq-giw(close)
1985-04-16,118.24,NDX,nasdaq-giw(close)
1985-04-17,118.84,NDX,nasdaq-giw(close)
1985-04-18,118.33,NDX,nasdaq-giw(close)
