date,value,name,source
1885-03,8.27461,CPI,github-csv
1885-04,8.09372,CPI,github-csv
1885-05,7.91551,CPI,github-csv
1885-06,7.98906,CPI,github-csv
1885-07,7.99223,CPI,github-csv
1885-08,7.90016,CPI,github-csv
1885-09,7.89709,CPI,github-csv
1885-10,7.98609,CPI,github-csv
1885-11,8.17617,CPI,github-csv
1885-12,7.99837,CPI,github-csv
1886-01,7.99223,CPI,github-csv
1886-02,7.90728,CPI,github-csv
1886-03,7.80501,CPI,github-csv
1886-04,7.61799,CPI,github-csv
1886-05,7.52878,CPI,github-csv
1886-06,7.60848,CPI,github-csv
1886-07,7.70065,CPI,github-csv
1886-08,7.70679,CPI,github-csv
1886-09,7.70679,CPI,github-csv
1886-10,7.70679,CPI,github-csv
1886-11,7.79877,CPI,github-csv
1886-12,7.98609,CPI,github-csv
1887-01,8.08431,CPI,github-csv
1887-02,8.08738,CPI,github-csv
1887-03,8.08738,CPI,github-csv
1887-04,8.08738,CPI,github-csv
1887-05,7.9953,CPI,github-csv
1887-06,7.90026,CPI,github-csv
1887-07,7.98302,CPI,github-csv
1887-08,7.90016,CPI,github-csv
1887-09,7.98906,CPI,github-csv
1887-10,8.08431,CPI,github-csv
1887-11,8.27134,CPI,github-csv
1887-12,8.3667,CPI,github-csv
1888-01,8.28075,CPI,github-csv
1888-02,8.27768,CPI,github-csv
1888-03,8.19172,CPI,github-csv
1888-04,8.09055,CPI,github-csv
1888-05,7.9953,CPI,github-csv
1888-06,8.08104,CPI,github-csv
1888-07,8.08738,CPI,github-csv
1888-08,8.08738,CPI,github-csv
1888-09,8.173,CPI,github-csv
1888-10,8.27461,CPI,github-csv
1888-11,8.27768,CPI,github-csv
1888-12,8.00144,CPI,github-csv
1889-01,7.90016,CPI,github-csv
1889-02,7.80534,CPI,github-csv
1889-03,7.80194,CPI,github-csv
1889-04,7.64337,CPI,github-csv
1889-05,7.61165,CPI,github-csv
1889-06,7.61165,CPI,github-csv
1889-07,7.61165,CPI,github-csv
1889-08,7.70065,CPI,github-csv
1889-09,7.70679,CPI,github-csv
1889-10,7.70679,CPI,github-csv
1889-11,7.7956,CPI,github-csv
1889-12,7.61779,CPI,github-csv
1890-01,7.61165,CPI,github-csv
1890-02,7.61165,CPI,github-csv
1890-03,7.61165,CPI,github-csv
1890-04,7.70362,CPI,github-csv
