date,value,name,source
1885-03-20,0.0249,SWAP,github-csv
1885-03-23,0.0248906,SWAP,github-csv
1885-03-24,0.0248813,SWAP,github-csv
1885-03-25,0.0248719,SWAP,github-csv
1885-03-26,0.0248625,SWAP,github-csv
1885-03-27,0.0248531,SWAP,github-csv
1885-03-30,0.0248438,SWAP,github-csv
1885-03-31,0.0248344,SWAP,github-csv
1885-04-01,0.024825,SWAP,github-csv
1885-04-02,0.024819,SWAP,github-csv
1885-04-06,0.0248131,SWAP,github-csv
1885-04-07,0.0248071,SWAP,github-csv
1885-04-08,0.0248012,SWAP,github-csv
1885-04-09,0.0247952,SWAP,github-csv
1885-04-10,0.0247893,SWAP,github-csv
1885-04-13,0.0247833,SWAP,github-csv
1885-04-14,0.0247774,SWAP,github-csv
1885-04-15,0.0247714,SWAP,github-csv
1885-04-16,0.0247655,SWAP,github-csv
1885-04-17,0.0247595,SWAP,github-csv
1885-04-20,0.0247536,SWAP,github-csv
1885-04-21,0.0247476,SWAP,github-csv
1885-04-22,0.0247417,SWAP,github-csv
1885-04-23,0.0247357,SWAP,github-csv
1885-04-24,0.0247298,SWAP,github-csv
1885-04-27,0.0247238,SWAP,github-csv
1885-04-28,0.0247179,SWAP,github-csv
1885-04-29,0.0247119,SWAP,github-csv
1885-04-30,0.024706,SWAP,github-csv
1885-05-01,0.0247,SWAP,github-csv
1885-05-04,0.024694,SWAP,github-csv
1885-05-05,0.0246881,SWAP,github-csv
1885-05-06,0.0246821,SWAP,github-csv
1885-05-07,0.0246762,SWAP,github-csv
1885-05-08,0.0246702,SWAP,github-csv
1885-05-11,0.0246643,SWAP,github-csv
1885-05-12,0.0246583,SWAP,github-csv
1885-05-13,0.0246524,SWAP,github-csv
1885-05-14,0.0246464,SWAP,github-csv
1885-05-15,0.0246405,SWAP,github-csv
1885-05-18,0.0246345,SWAP,github-csv
1885-05-19,0.0246286,SWAP,github-csv
1885-05-20,0.0246226,SWAP,github-csv
1885-05-21,0.0246167,SWAP,github-csv
1885-05-22,0.0246107,SWAP,github-csv
1885-05-25,0.0246048,SWAP,github-csv
1885-05-26,0.0245988,SWAP,github-csv
1885-05-27,0.0245929,SWAP,github-csv
