date,upro_equity_rebased_usd,futures_equity_rebased_usd,upro_simple_ret,futures_simple_ret,log_ret_diff_fut_minus_upro
2006-05-02,1000000.000000,1000000.000000,,,
2006-05-03,988260.553347,987971.137595,-0.01173945,-0.01202886,-0.00029290
2006-05-04,998368.231028,997197.969026,0.01022775,0.00933917,-0.00087997
2006-05-05,1024268.364849,1027868.187770,0.02594247,0.03075640,0.00468123
2006-05-08,1019997.352604,1025080.881651,-0.00416982,-0.00271173,0.00146312
2006-05-09,1025448.482817,1025889.349886,0.00534426,0.00078869,-0.00454165
2006-05-10,1023260.718282,1020436.955443,-0.00213347,-0.00531480,-0.00319322
2006-05-11,985641.789085,981361.166510,-0.03676378,-0.03829319,-0.00158905
2006-05-12,946487.732568,947283.567123,-0.03972443,-0.03472483,0.00519291
2006-05-15,951684.047765,954290.655022,0.00549010,0.00739703,0.00189472
2006-05-16,946969.842238,948674.071647,-0.00495354,-0.00588561,-0.00093715
2006-05-17,892403.734432,900295.089772,-0.05762180,-0.05099642,0.00700589
2006-05-18,878407.395878,882082.950081,-0.01568386,-0.02022908,-0.00462833
2006-05-19,896506.879928,892981.727591,0.02060489,0.01235573,-0.00811546
2006-05-22,875491.944579,882347.386931,-0.02344091,-0.01190880,0.01173974
2006-05-23,855020.476820,870162.231634,-0.02338282,-0.01380993,0.00975436
2006-05-24,875040.704116,874233.679642,0.02341491,0.00467895,-0.01847695
2006-05-25,907018.700315,904265.211599,0.03654458,0.03435184,-0.00211768
2006-05-26,920365.672197,919468.047790,0.01471521,0.01681236,0.00206461
2006-05-30,870822.790900,876845.649843,-0.05382956,-0.04635550,0.00786824
2006-05-31,899553.306107,898311.520752,0.03299238,0.02448079,-0.00827388
2006-06-01,924875.948777,930886.608259,0.02815024,0.03626257,0.00785926
2006-06-02,930183.007307,935927.839180,0.00573813,0.00541552,-0.00032083
2006-06-05,888999.572733,887974.231426,-0.04427455,-0.05123644,-0.00731106
2006-06-06,882004.306673,884863.960106,-0.00786869,-0.00350266,0.00439101
2006-06-07,861687.990765,868478.286077,-0.02303426,-0.01851773,0.00461236
2006-06-08,858949.743670,871816.902904,-0.00317777,0.00384421,0.00701968
2006-06-09,850274.320665,859696.836375,-0.01010004,-0.01390208,-0.00384823
2006-06-12,822124.113579,827803.407119,-0.03310721,-0.03709846,-0.00413646
2006-06-13,793018.715608,799903.201425,-0.03540268,-0.03370390,0.00175958
2006-06-14,811015.817502,812567.330245,0.02269442,0.01583208,-0.00673268
2006-06-15,862170.525526,864779.423649,0.06307486,0.06425571,0.00111018
2006-06-16,842836.853275,855194.662749,-0.02242442,-0.01108347,0.01153431
2006-06-19,822475.625186,832293.248810,-0.02415797,-0.02677918,-0.00268972
2006-06-20,830390.184665,832294.747429,0.00962285,0.00000180,-0.00957504
2006-06-21,848383.806950,856296.940894,0.02166888,0.02883857,0.00699312
2006-06-22,836700.096436,842985.649573,-0.01377173,-0.01554518,-0.00179984
2006-06-23,835818.188671,840728.913742,-0.00105403,-0.00267708,-0.00162608
2006-06-26,846420.886049,852925.491833,0.01268541,0.01450715,0.00179730
2006-06-27,823994.252978,830125.341789,-0.02649584,-0.02673170,-0.00024231
2006-06-28,840275.848965,843754.107276,0.01975936,0.01641772,-0.00328227
2006-06-29,890714.104232,897427.087979,0.06002583,0.06361211,0.00337749
2006-06-30,890415.693878,891879.751250,-0.00033502,-0.00618138,-0.00586548
2006-07-03,900817.676576,912796.182163,0.01168216,0.02345208,0.01156685
2006-07-05,884864.619070,893266.554519,-0.01770953,-0.02139539,-0.00375937
2006-07-06,892086.826290,899829.967452,0.00816193,0.00734765,-0.00080802
2006-07-07,874141.898026,881678.000126,-0.02011567,-0.02017266,-0.00005816
2006-07-10,878610.955875,885706.524208,0.00511251,0.00456916,-0.00054074
2006-07-11,889741.006676,896369.454693,0.01266778,0.01203890,-0.00062121
2006-07-12,860736.220384,867289.977156,-0.03259913,-0.03244140,0.00016304
2006-07-13,818247.331144,832694.763571,-0.04936343,-0.03988887,0.00991721
2006-07-14,808270.573088,820307.964054,-0.01219284,-0.01487556,-0.00271953
2006-07-17,804271.174582,816836.089776,-0.00494809,-0.00423240,0.00071899
2006-07-18,816131.442983,821606.268663,0.01474660,0.00583982,-0.00881609
2006-07-19,849628.098562,867183.576183,0.04104321,0.05547342,0.01376610
2006-07-20,831695.599649,845597.055281,-0.02110629,-0.02489268,-0.00387552
2006-07-21,813626.855276,827692.780481,-0.02172519,-0.02117353,0.00056375
2006-07-24,857661.062162,869025.788625,0.05412089,0.04993762,-0.00397638
2006-07-25,866336.119970,884657.574064,0.01011479,0.01798771,0.00776387
2006-07-26,869322.136200,883518.011527,0.00344672,-0.00128814,-0.00472976
2006-07-27,866349.818440,872662.793748,-0.00341912,-0.01228636,-0.00893748
2006-07-28,891898.458343,904788.157409,0.02948998,0.03681303,0.00708810
2006-07-31,888664.232255,900912.336555,-0.00362623,-0.00428368,-0.00066006
2006-08-01,875011.635677,888719.448670,-0.01536305,-0.01353393,0.00185594
2006-08-02,892249.539681,902353.220278,0.01970020,0.01534092,-0.00428423
2006-08-03,898837.537466,908386.149986,0.00738358,0.00668577,-0.00069293
2006-08-04,893695.521147,906403.328539,-0.00572074,-0.00218280,0.00355199
2006-08-07,886905.970808,899010.221759,-0.00759716,-0.00815653,-0.00056381
2006-08-08,876202.015862,889911.912856,-0.01206887,-0.01012036,0.00197037
2006-08-09,866828.448573,878284.376752,-0.01069795,-0.01306594,-0.00239646
2006-08-10,874318.371603,890447.188125,0.00864061,0.01384837,0.00514987
2006-08-11,866404.888991,879738.546018,-0.00905103,-0.01202614,-0.00300680
2006-08-14,867953.696340,882906.774101,0.00178763,0.00360133,0.00180883
2006-08-15,898595.783136,919153.342100,0.03530383,0.04105368,0.00553841
2006-08-16,920505.970937,939653.865945,0.02438270,0.02230370,-0.00203157
2006-08-17,927002.854781,943845.424483,0.00705795,0.00446075,-0.00258233
2006-08-18,940589.997380,953966.773240,0.01465707,0.01072352,-0.00388426
2006-08-21,927960.322081,943549.373774,-0.01342740,-0.01092009,0.00253821
2006-08-22,927212.376076,946229.869680,-0.00080601,0.00284086,0.00364317
2006-08-23,918986.780960,933366.337040,-0.00887132,-0.01359451,-0.00477686
2006-08-24,916121.632663,939794.749755,-0.00311773,0.00688734,0.00998633
2006-08-25,918989.313764,937507.387294,0.00313024,-0.00243390,-0.00556221
2006-08-28,931629.284953,952227.080504,0.01375421,0.01570088,0.00191842
2006-08-29,934311.407172,957463.907380,0.00287896,0.00549956,0.00260967
2006-08-30,935493.695242,959575.159335,0.00126541,0.00220505,0.00093801
2006-08-31,934526.174524,955967.063570,-0.00103424,-0.00376010,-0.00273241
2006-09-01,950729.534571,971632.538288,0.01733858,0.01638704,-0.00093576
2006-09-05,955611.176382,976709.573139,0.00513463,0.00522526,0.00009017
2006-09-06,929806.407466,948062.948720,-0.02700342,-0.02932973,-0.00239373
2006-09-07,916449.164443,934280.707167,-0.01436562,-0.01453726,-0.00017416
2006-09-08,923755.950886,944924.604931,0.00797293,0.01139261,0.00338689
2006-09-11,925991.860182,945717.970467,0.00242045,0.00083961,-0.00157828
2006-09-12,952729.073167,975187.686173,0.02887413,0.03116121,0.00222042
2006-09-13,963685.375767,986200.951118,0.01149991,0.01129348,-0.00020411
2006-09-14,963351.007200,982239.728174,-0.00034697,-0.00401665,-0.00367771
